Id,tanggal,jumlah_lansia,jumlah_gawat_darurat,total_pasien
102,2025-08-10,13,5,28
103,2025-08-11,12,6,26
104,2025-08-12,15,7,32
105,2025-08-13,13,9,41
106,2025-08-14,8,0,25
107,2025-08-15,12,12,42
108,2025-08-16,15,6,32
109,2025-08-17,12,6,37
110,2025-08-18,15,10,42
111,2025-08-19,14,6,40
112,2025-08-20,12,14,42
113,2025-08-21,10,5,31
114,2025-08-22,12,10,38
115,2025-08-23,10,6,29
116,2025-08-24,18,10,37
117,2025-08-25,15,8,36
118,2025-08-26,16,7,37
119,2025-08-27,14,6,37
120,2025-08-28,14,6,31
121,2025-08-29,19,9,40
122,2025-08-30,21,12,44
123,2025-08-31,9,4,31
124,2025-09-01,18,9,39
125,2025-09-02,14,4,41
126,2025-09-03,14,13,39
127,2025-09-04,12,6,33
128,2025-09-05,13,4,30
129,2025-09-06,16,9,40
130,2025-09-07,9,7,29
131,2025-09-08,14,9,31
132,2025-09-09,10,6,26
133,2025-09-10,12,8,41
134,2025-09-11,14,9,39
135,2025-09-12,11,2,29
136,2025-09-13,9,9,31
137,2025-09-14,9,7,30
138,2025-09-15,16,7,34
139,2025-09-16,16,10,35
140,2025-09-17,11,10,36
141,2025-09-18,13,8,33
142,2025-09-19,12,8,33
143,2025-09-20,13,7,34
144,2025-09-21,14,4,37
145,2025-09-22,13,5,45
146,2025-09-23,15,9,43
147,2025-09-24,14,8,44
148,2025-09-25,17,11,45
149,2025-09-26,14,9,30
150,2025-09-27,12,5,26
151,2025-09-28,20,7,41
152,2025-09-29,16,7,34
153,2025-09-30,9,10,32
154,2025-10-01,17,8,39
155,2025-10-02,12,7,34
156,2025-10-03,18,6,40
157,2025-10-04,13,7,30
158,2025-10-05,11,6,31
159,2025-10-06,11,9,28
160,2025-10-07,13,5,39
161,2025-10-08,8,6,25
162,2025-10-09,13,8,28
163,2025-10-10,19,7,40
164,2025-10-11,10,5,31
165,2025-10-12,11,7,31
166,2025-10-13,12,6,40
167,2025-10-14,12,6,26
168,2025-10-15,20,11,43
169,2025-10-16,16,10,41
170,2025-10-17,18,6,43
171,2025-10-18,13,6,29
172,2025-10-19,14,13,44
173,2025-10-20,18,6,37
174,2025-10-21,13,5,34
175,2025-10-22,13,9,43
176,2025-10-23,16,6,43
177,2025-10-24,13,11,31
178,2025-10-25,9,7,26
179,2025-10-26,15,8,36
180,2025-10-27,20,8,42
181,2025-10-28,18,6,40
182,2025-10-29,17,7,41
183,2025-10-30,14,8,37
184,2025-10-31,9,7,28
185,2025-11-01,16,7,43
186,2025-11-02,16,9,45
187,2025-11-03,15,6,31
188,2025-11-04,13,6,29
189,2025-11-05,13,8,40
190,2025-11-06,20,15,45
191,2025-11-07,13,3,31
192,2025-11-08,20,13,42
193,2025-11-09,11,4,30
194,2025-11-10,14,8,33
195,2025-11-11,17,8,44
196,2025-11-12,10,4,32
197,2025-11-13,12,6,39
198,2025-11-14,12,7,40
199,2025-11-15,15,11,44
200,2025-11-16,13,4,37
201,2025-11-17,11,4,26
202,2025-11-18,15,8,36
203,2025-11-19,17,7,35
204,2025-11-20,9,7,26
205,2025-11-21,21,11,44
206,2025-11-22,16,7,38
207,2025-11-23,15,8,38
208,2025-11-24,14,8,33
209,2025-11-25,12,5,28
210,2025-11-26,11,4,33
211,2025-11-27,16,8,36
212,2025-11-28,19,9,43
213,2025-11-29,13,7,28
214,2025-11-30,15,7,33
215,2025-12-01,16,5,38
216,2025-12-02,15,6,35
217,2025-12-03,21,3,44
218,2025-12-04,22,5,45
219,2025-12-05,18,9,39
220,2025-12-06,15,6,34
221,2025-12-07,10,3,32
222,2025-12-08,12,7,27
223,2025-12-09,12,7,36
224,2025-12-10,18,12,44
225,2025-12-11,14,10,39
226,2025-12-12,10,5,29
227,2025-12-13,14,3,39
228,2025-12-14,19,8,41
229,2025-12-15,18,8,40
230,2025-12-16,14,8,37
231,2025-12-17,13,14,32
232,2025-12-18,17,6,36
233,2025-12-19,17,12,45
234,2025-12-20,39,32,97
235,2025-12-21,38,34,94
236,2025-12-22,49,33,101
237,2025-12-23,38,29,103
238,2025-12-24,42,29,85
239,2025-12-25,37,37,104
240,2025-12-26,33,33,103
241,2025-12-27,30,32,90
242,2025-12-28,32,26,85
243,2025-12-29,37,29,88
244,2025-12-30,41,39,102
245,2025-12-31,32,31,87
246,2026-01-01,33,28,82
247,2026-01-02,47,37,101
248,2026-01-03,45,38,98
249,2026-01-04,36,24,83
250,2026-01-05,50,35,102
251,2026-01-06,14,6,35
252,2026-01-07,11,15,39
253,2026-01-08,15,9,44
254,2026-01-09,13,5,36
255,2026-01-10,12,3,30
256,2026-01-11,13,4,28
257,2026-01-12,15,7,33
258,2026-01-13,9,5,27
259,2026-01-14,11,8,28
260,2026-01-15,17,13,40
261,2026-01-16,14,8,30
262,2026-01-17,8,5,29
263,2026-01-18,11,2,30
264,2026-01-19,20,6,41
265,2026-01-20,15,8,32
266,2026-01-21,13,5,38
267,2026-01-22,11,5,39
268,2026-01-23,18,12,44
269,2026-01-24,12,2,27
270,2026-01-25,14,11,40
271,2026-01-26,15,7,31
272,2026-01-27,15,10,41
273,2026-01-28,10,3,25
274,2026-01-29,11,9,27
275,2026-01-30,14,7,38
276,2026-01-31,12,9,34
277,2026-02-01,9,7,25
278,2026-02-02,13,9,28
279,2026-02-03,8,5,25
280,2026-02-04,17,7,42
281,2026-02-05,17,11,41
282,2026-02-06,16,8,39
283,2026-02-07,17,5,36
284,2026-02-08,10,2,25
285,2026-02-09,16,5,38
286,2026-02-10,16,6,40
287,2026-02-11,11,6,25
288,2026-02-12,12,9,39
289,2026-02-13,13,2,28
290,2026-02-14,8,4,29
291,2026-02-15,16,5,39
292,2026-02-16,11,7,28
293,2026-02-17,12,10,38
294,2026-02-18,12,17,39
295,2026-02-19,8,9,27
296,2026-02-20,13,7,37
297,2026-02-21,17,9,36
298,2026-02-22,13,8,28
299,2026-02-23,12,7,41
300,2026-02-24,9,5,26
301,2026-02-25,18,8,39
302,2026-02-26,9,9,28
303,2026-02-27,17,9,35
304,2026-02-28,11,7,34
305,2026-03-01,11,5,26
306,2026-03-02,13,6,35
307,2026-03-03,9,5,29
308,2026-03-04,10,8,30
309,2026-03-05,16,3,37
310,2026-03-06,16,7,45
311,2026-03-07,17,4,41
312,2026-03-08,10,10,32
313,2026-03-09,9,6,25
314,2026-03-10,12,3,32
315,2026-03-11,14,7,37
316,2026-03-12,13,8,41
317,2026-03-13,10,9,26
318,2026-03-14,12,4,28
319,2026-03-15,16,7,33
320,2026-03-16,11,4,26
321,2026-03-17,8,4,26
322,2026-03-18,15,9,43
323,2026-03-19,7,4,25
324,2026-03-20,27,42,85
325,2026-03-21,36,38,103
326,2026-03-22,28,34,83
327,2026-03-23,29,32,85
328,2026-03-24,34,32,101
329,2026-03-25,34,35,95
330,2026-03-26,29,29,92
331,2026-03-27,29,20,82
332,2026-03-28,43,29,99
333,2026-03-29,30,25,88
334,2026-03-30,27,40,81
335,2026-03-31,9,7,31
336,2026-04-01,14,6,37
337,2026-04-02,14,7,30
338,2026-04-03,10,12,34
339,2026-04-04,13,7,32
340,2026-04-05,17,8,41
341,2026-04-06,10,3,26
342,2026-04-07,14,6,30
343,2026-04-08,14,12,30
344,2026-04-09,9,4,29
345,2026-04-10,15,10,41
346,2026-04-11,16,6,39
347,2026-04-12,16,10,34
348,2026-04-13,18,11,40
349,2026-04-14,13,8,40
350,2026-04-15,9,7,27
351,2026-04-16,11,6,26
352,2026-04-17,11,9,28
353,2026-04-18,12,1,30
354,2026-04-19,13,2,31
355,2026-04-20,8,6,28
356,2026-04-21,20,6,44
357,2026-04-22,15,6,32
358,2026-04-23,10,4,27
359,2026-04-24,18,4,44
360,2026-04-25,16,2,38
361,2026-04-26,8,6,25
362,2026-04-27,11,7,36
363,2026-04-28,12,10,40
364,2026-04-29,19,14,40
365,2026-04-30,14,9,39
366,2026-05-01,10,8,33
