Id,tanggal,jumlah_lansia,jumlah_gawat_darurat,total_pasien
303,2026-02-27,15,7,43
304,2026-02-28,8,3,22
305,2026-03-01,6,3,20
306,2026-03-02,18,6,48
307,2026-03-03,18,7,51
308,2026-03-04,17,5,41
309,2026-03-05,19,9,53
310,2026-03-06,11,4,33
311,2026-03-07,8,3,20
312,2026-03-08,5,1,16
313,2026-03-09,17,4,43
314,2026-03-10,13,5,34
315,2026-03-11,14,6,40
316,2026-03-12,17,8,43
317,2026-03-13,13,6,39
318,2026-03-14,5,2,17
319,2026-03-15,7,3,20
320,2026-03-16,16,5,38
321,2026-03-17,11,4,30
322,2026-03-18,28,8,70
323,2026-03-19,29,13,99
324,2026-03-20,27,14,88
325,2026-03-21,23,12,72
326,2026-03-22,29,11,84
327,2026-03-23,36,18,94
328,2026-03-24,29,8,74
329,2026-03-25,16,6,46
330,2026-03-26,22,7,55
331,2026-03-27,14,6,43
332,2026-03-28,7,3,23
333,2026-03-29,7,2,24
334,2026-03-30,14,7,43
335,2026-03-31,13,5,38
336,2026-04-01,15,6,45
337,2026-04-02,19,6,47
338,2026-04-03,14,7,48
339,2026-04-04,8,3,24
340,2026-04-05,5,2,19
341,2026-04-06,17,4,40
342,2026-04-07,19,8,44
343,2026-04-08,10,4,32
344,2026-04-09,16,6,43
345,2026-04-10,17,7,42
346,2026-04-11,6,3,20
347,2026-04-12,10,3,23
348,2026-04-13,18,5,41
349,2026-04-14,10,4,34
350,2026-04-15,11,4,36
351,2026-04-16,13,3,32
352,2026-04-17,17,6,45
353,2026-04-18,9,4,25
354,2026-04-19,9,3,25
355,2026-04-20,15,6,45
356,2026-04-21,13,6,38
357,2026-04-22,11,4,32
358,2026-04-23,10,4,31
359,2026-04-24,12,5,32
360,2026-04-25,10,3,24
361,2026-04-26,8,4,22
362,2026-04-27,17,7,46
363,2026-04-28,18,4,43
364,2026-04-29,14,6,46
365,2026-04-30,18,9,49
366,2026-05-01,15,6,45
